tok_type,whitespace,vocab_size,lang1,lang2,crossing_proportion,syntactic_dist,genetic_dist,shared_script
bpe,nowhitespace,16384,afr_Latn,deu_Latn,7.534059363655777,0.2075,0.439,1
bpe,nowhitespace,16384,afr_Latn,als_Latn,8.567364810218368,0.5499,0.86,1
bpe,nowhitespace,16384,bod_Tibt,kmr_Latn,92.59894060277861,0.6035,1.0,0
bpe,nowhitespace,16384,hin_Deva,npi_Deva,96.42153247972112,0.0,0.6614,1
bpe,nowhitespace,32768,afr_Latn,deu_Latn,7.073686025956107,0.2075,0.439,1
bpe,nowhitespace,32768,afr_Latn,als_Latn,8.739994070560332,0.5499,0.86,1
bpe,nowhitespace,32768,bel_Cyrl,srp_Cyrl,91.78340239668496,0.4327,0.6162,1
bpe,nowhitespace,32768,bod_Tibt,kmr_Latn,92.91484905484185,0.6035,1.0,0
bpe,whitespace,16384,afr_Latn,deu_Latn,7.77461411658924,0.2075,0.439,1
bpe,whitespace,16384,afr_Latn,als_Latn,7.9871206324917114,0.5499,0.86,1
bpe,whitespace,16384,hin_Deva,mar_Deva,92.72515685083991,0.3903,0.6936,1
bpe,whitespace,16384,hin_Deva,npi_Deva,98.1068670423711,0.0,0.6614,1
bpe,whitespace,32768,afr_Latn,deu_Latn,6.676247177171012,0.2075,0.439,1
bpe,whitespace,32768,arz_Arab,ckb_Arab,7.528198000748382,0.8003,1.0,1
bpe,whitespace,32768,bod_Tibt,kmr_Latn,92.41032155834222,0.6035,1.0,0
bpe,whitespace,32768,bel_Cyrl,jav_Latn,92.44108842924985,0.5,1.0,0
unigram,nowhitespace,16384,eus_Latn,mlt_Latn,10.06087792374239,0.4097,0.9724,1
unigram,nowhitespace,16384,als_Latn,asm_Beng,11.961551743985265,0.6854,0.8691,0
unigram,nowhitespace,16384,asm_Beng,cym_Latn,89.79563029335952,0.8488,0.9078,0
unigram,nowhitespace,16384,bel_Cyrl,jav_Latn,90.16256064520194,0.5,1.0,0
unigram,nowhitespace,32768,deu_Latn,pan_Guru,16.042020373514433,0.5268,0.8934,0
unigram,nowhitespace,32768,arz_Arab,ckb_Arab,21.368554166081214,0.8003,1.0,1
unigram,nowhitespace,32768,bel_Cyrl,jav_Latn,90.17285095013496,0.5,1.0,0
unigram,nowhitespace,32768,asm_Beng,cym_Latn,90.326815896746,0.8488,0.9078,0
unigram,whitespace,16384,deu_Latn,pan_Guru,10.374182115594328,0.5268,0.8934,0
unigram,whitespace,16384,khk_Cyrl,vie_Latn,12.202209005947322,0.8221,1.0,0
unigram,whitespace,16384,bel_Cyrl,jav_Latn,90.31628240231326,0.5,1.0,0
unigram,whitespace,16384,hin_Deva,npi_Deva,90.43293653802411,0.0,0.6614,1
unigram,whitespace,32768,arz_Arab,urd_Arab,13.674020711391265,0.6625,1.0,1
unigram,whitespace,32768,als_Latn,asm_Beng,16.990394877267875,0.6854,0.8691,0
unigram,whitespace,32768,ben_Beng,lit_Latn,90.11803359734682,0.5587,0.86,0
unigram,whitespace,32768,bel_Cyrl,jav_Latn,90.3766395648602,0.5,1.0,0
